battleneturl,playername,race,gamelength,apm,epm,1_usage,2_usage,3_usage,4_usage,5_usage,6_usage,7_usage,8_usage,9_usage,0_usage,chattiness,chat_with_comma,worker_box_spam
http://eu.battle.net/sc2/en/profile/4234852/1/First/,First,Protoss,27.580208333333335,242.67401895985194,228.46092835291006,14.974506175170902,8.049250292706876,14.575669448955697,9.427049892359406,4.278430335763115,0.7614155682290289,0.03625788420138233,0.0,0.14503153680552933,1.667862673263587,1,0,12.571428571428571
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,Stardust,Protoss,4.011458333333334,223.60945209036612,189.95585562191638,12.962866787847311,3.739288496494417,30.16359387172163,29.16645027265645,0.0,0.0,0.0,0.0,0.0,0.0,0,0,22.186445079200208
http://eu.battle.net/sc2/en/profile/4234852/1/First/,First,Protoss,14.871875,235.0073544862366,217.4574490439168,7.530993906282833,7.530993906282833,20.575751208237026,7.598234923303215,5.446522378650977,0.7396511872242068,0.0,0.0,0.2017230510611473,1.1430972893465015,0,0,15.571428571428571
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,Stardust,Protoss,4.245833333333334,210.08832188420018,182.06084396467125,10.834151128557409,2.355250245338567,25.436702649656524,25.436702649656524,0.0,0.0,0.0,0.0,0.0,0.0,0,0,17.664376840039253
http://eu.battle.net/sc2/en/profile/4234852/1/First/,First,Protoss,8.991666666666667,218.758109360519,201.29749768303984,6.895273401297497,4.893419833178869,22.354031510658015,9.564411492122336,1.6682113067655235,0.0,0.0,0.0,0.0,0.11121408711770157,1,0,11.285714285714286
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,Stardust,Protoss,9.008333333333333,215.5781683626272,189.93524514338577,17.98334875115634,7.4375578168362635,20.203515263644775,19.204440333024976,0.0,0.0,0.0,0.0,0.0,1.5541165587419057,0,0,15.714285714285714
http://eu.battle.net/sc2/en/profile/4234852/1/First/,First,Protoss,3.2333333333333334,236.5979381443299,199.48453608247422,1.8556701030927836,0.6185567010309279,38.04123711340206,7.422680412371134,5.257731958762887,0.0,0.0,0.0,0.0,0.30927835051546393,0,0,23.814432989690722
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,Stardust,Protoss,2.830208333333333,185.85204269414797,152.2856091277144,6.006624953993375,0.0,30.033124769966875,25.086492454913508,0.0,0.0,0.0,0.0,0.0,0.0,0,0,24.0264998159735
http://eu.battle.net/sc2/en/profile/3401218/1/Welmu/,Welmu,Protoss,11.028125,276.11221309152734,245.46330405213942,22.578634173986966,12.785491640691415,1.6321904222159254,31.64635874185322,7.435534145650326,2.5389628790025505,1.9042221592519128,0.0,0.0,0.0,1,0,7.571428571428571
http://eu.battle.net/sc2/en/profile/2896854/1/MǂForGG/,MǂForGG,Terran,11.020833333333334,285.36862003780715,209.875236294896,26.132325141776935,10.525519848771266,37.11153119092627,29.489603024574667,15.7882797731569,0.0,0.0,0.0,0.0,0.09073724007561436,0,0,17.285714285714285
http://eu.battle.net/sc2/en/profile/3401218/1/Welmu/,Welmu,Protoss,3.5416666666666665,299.29411764705884,243.67058823529413,0.0,26.258823529411767,0.0,56.188235294117646,17.50588235294118,2.5411764705882356,3.1058823529411765,0.0,0.0,0.0,0,0,14.964705882352941
http://eu.battle.net/sc2/en/profile/2896854/1/MǂForGG/,MǂForGG,Terran,2.084375,305.6071964017991,162.63868065967017,56.61169415292353,0.47976011994003,110.82458770614693,0.0,0.0,0.0,0.0,0.0,0.0,0.47976011994003,0,0,49.415292353823084
http://eu.battle.net/sc2/en/profile/3401218/1/Welmu/,Welmu,Protoss,3.582291666666667,312.09072404768824,255.98138993893573,0.279150915963943,44.384995638266936,0.0,60.57574876417563,9.491131142774062,0.558301831927886,3.628961907531259,0.0,0.0,0.0,0,0,11.724338470485606
